Department,Room_Number,Room_Type,Equipment_Category,Equipment_Name,Model,Quantity,Status,Last_Inspection,Next_Inspection,Responsible_Staff,Maintenance_Due,Critical_Level
Emergency,ER-001,Trauma Bay,Monitoring,Cardiac Monitor,IntelliVue MX450,1,Operational,2025-07-15,2025-10-15,Nurse Johnson,2025-09-10,High
Emergency,ER-001,Trauma Bay,Life Support,Defibrillator,LIFEPAK 15,1,Operational,2025-07-20,2025-10-20,Dr. Mitchell,2025-08-15,Critical
Emergency,ER-001,Trauma Bay,Life Support,Ventilator,Oxylog 3000 Plus,1,Operational,2025-07-10,2025-10-10,RT Williams,2025-09-05,Critical
Emergency,ER-001,Trauma Bay,Diagnostic,Portable X-Ray,DRX-Revolution Nano,1,Available,2025-06-30,2025-09-30,Tech Martinez,2025-08-25,High
Emergency,ER-002,Trauma Bay,Monitoring,Cardiac Monitor,IntelliVue MX450,1,Operational,2025-07-18,2025-10-18,Nurse Davis,2025-09-12,High
Emergency,ER-002,Trauma Bay,Life Support,Defibrillator,LIFEPAK 15,1,Operational,2025-07-22,2025-10-22,Dr. Mitchell,2025-08-18,Critical
Emergency,ER-003,Treatment Room,Monitoring,Vital Signs Monitor,Dinamap Pro 400,1,Operational,2025-07-05,2025-10-05,Nurse Thompson,2025-08-30,Medium
Emergency,ER-004,Treatment Room,Monitoring,Vital Signs Monitor,Dinamap Pro 400,1,Operational,2025-07-12,2025-10-12,Nurse Anderson,2025-09-02,Medium
Emergency,ER-005,Treatment Room,Diagnostic,EKG Machine,MAC 2000,1,Operational,2025-06-28,2025-09-28,Tech Roberts,2025-08-20,Medium
Emergency,ER-006,Treatment Room,Diagnostic,EKG Machine,MAC 2000,1,Operational,2025-07-03,2025-10-03,Tech Roberts,2025-08-22,Medium
Emergency,ER-Central,Supply Area,Emergency,Crash Cart,Standard Code Cart,3,Ready,2025-07-25,2025-08-25,Nurse Manager,2025-08-15,Critical
Emergency,ER-Central,Supply Area,Life Support,AED,LIFEPAK CR2,5,Ready,2025-07-20,2025-10-20,Safety Officer,2025-09-15,Critical
Emergency,Triage,Assessment Area,Monitoring,Triage Monitor,Spot Vital Signs,2,Operational,2025-07-08,2025-10-08,Triage Nurse,2025-08-28,Medium
